"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"96","I1",14,"Roma","Fiorentina",1,"H",0.6,0.6,1,2,40,-1,6,-2,33,11,1.91,3.4,4,0.107679077135492,0.151810540225965,0.740510382638543,14,1.35041995824131,6.58715790426367,9.28685522389556
"97","I1",14,"Sampdoria","Catania",1,"H",0.2,0.2,-4,-9,-3,-38,-1,-18,-11,-21,1.73,3.6,4.75,0.113849427946981,0.319106285612439,0.56704428644058,14,1.76353068695418,3.13375212299804,8.78353117826554
"98","I1",14,"Sassuolo","Chievo",1,"A",0.6,0.6,2,3,7,-31,8,0,-7,-14,2.1,3.2,3.6,0.155862389284043,0.315309305264752,0.528828305451206,14,1.89097291066291,3.17148902142404,6.41591601792787
"99","I1",14,"Torino","Lazio",1,"H",0.5,0.3,2,-4,7,1,7,-7,5,5,2.38,3.2,3,0.152440353510551,0.243609597649381,0.603950048840069,14,1.65576607191369,4.10492858101292,6.55994280366705
"100","I1",14,"Verona","Atalanta",1,"H",0.4,0.4,-1,-2,-20,-26,-1,-8,1,1,1.95,3.3,4,0.211356528092228,0.253656760455301,0.534986711452471,14,1.86920530658609,3.94233529674135,4.73134191324167
"101","I1",14,"Catania","Verona",1,"D",0.2,0.4,-7,-2,-34,-13,-16,0,-21,1,2.7,3,2.75,0.397204413047065,0.308533934426501,0.294261652526434,14,3.39833611146518,3.24113456712237,2.51759539207715
"102","I1",14,"Chievo","Sampdoria",1,"A",0.8,0.4,5,0,-12,6,5,6,-5,-3,2.25,3,3.5,0.267533109442924,0.277920772660613,0.454546117896463,14,2.1999967893858,3.59814773982787,3.73785510915741
"103","I1",14,"Fiorentina","Bologna",1,"H",0.6,0.3,2,-3,-14,-26,-7,-5,3,-28,1.44,4.33,7,0.168037462734831,0.285788115945424,0.546174421319745,14,1.83091693965392,3.49909581331564,5.95105391217455
"104","I1",14,"Genoa","Atalanta",1,"D",0.6,0.3,3,-3,-91,-29,-18,-13,-21,-4,2.15,3.25,3.4,0.437992735074432,0.246045510224281,0.315961754701287,14,3.16494001289937,4.06428875328169,2.28314289238168
"105","I1",14,"Juventus","Sassuolo",1,"H",1,0.6,9,2,47,-2,17,2,12,-9,1.17,6.5,17,0.0828872872748176,0.196309737484269,0.720802975240913,14,1.38734166526681,5.0939908168342,12.0645762803703
"106","I1",14,"Lazio","Livorno",1,"H",0.2,0.3,-5,-6,30,-1,-5,-3,20,-15,1.5,4,7,0.130669372627148,0.252635435031425,0.616695192341427,14,1.6215466123601,3.95827291557738,7.65290274143582
"107","I1",14,"Napoli","Inter",1,"H",0.5,0.7,-1,5,1,15,3,2,15,8,1.91,3.5,4,0.286406885977528,0.252865153971719,0.460727960050753,14,2.17047821428038,3.95467696633219,3.491536163968
"108","I1",14,"Parma","Cagliari",1,"D",0.5,0.6,0,1,5,32,2,4,15,-1,1.8,3.6,4.33,0.290466900521559,0.265076280624122,0.444456818854319,14,2.24993735629416,3.77249898650116,3.44273305565768
"109","I1",14,"Udinese","Torino",1,"A",0.3,0.6,-4,3,-4,-3,1,6,-7,-9,1.91,3.4,4,0.288094700203411,0.365475082252287,0.346430217544302,14,2.88658422203634,2.73616464859211,3.47108086089034
"110","I1",14,"Milan","Roma",1,"D",0.5,0.6,0,1,63,30,11,8,23,26,2.3,3.3,3.1,0.14062374717693,0.180016381484857,0.679359871338212,14,1.47197390100505,5.55505000018078,7.11117446430879
"111","I1",14,"Cagliari","Napoli",1,"D",0.7,0.5,2,0,28,-5,7,1,-5,2,3.5,3.4,2.05,0.148744797735183,0.254354123526186,0.596901078738632,14,1.67531947188501,3.9315265903171,6.72292419786235
"112","I1",14,"Livorno","Udinese",1,"A",0.1,0.3,-9,-3,-21,13,-12,3,-10,-5,3.1,3.1,2.4,0.380195030290143,0.34830504852291,0.271499921186947,14,3.68324232150119,2.87104652729208,2.63022901492652
"113","I1",14,"Atalanta","Juventus",1,"A",0.4,1,-2,12,-14,48,-7,21,-7,18,7.5,4.2,1.44,0.604476745911511,0.238395940679018,0.157127313409471,14,6.36426588287689,4.19470229716043,1.65432335778619
"114","I1",14,"Bologna","Genoa",1,"H",0.2,0.5,-6,1,-45,-83,-11,-18,-28,-18,2.1,3.25,3.5,0.19906956592444,0.375591795540067,0.425338638535492,14,2.3510678537063,2.66246497360809,5.02336957111548
"115","I1",14,"Inter","Milan",1,"H",0.5,0.6,0,2,9,46,-4,12,11,13,2.63,3.3,2.63,0.377608392461399,0.237794002201629,0.384597605336972,14,2.60012019347815,4.20532053265198,2.64824622535958
"116","I1",14,"Roma","Catania",1,"H",0.6,0.3,1,-6,35,-18,10,-5,29,-5,1.22,6.5,11,0.072879456462224,0.145740932071386,0.78137961146639,14,1.27978767979796,6.86149035680781,13.7212878435549
"117","I1",14,"Sampdoria","Parma",1,"D",0.6,0.6,2,1,10,4,7,4,-8,14,2.5,3.2,2.88,0.242130391929532,0.256008749775162,0.501860858295306,14,1.99258416644953,3.90611649358955,4.13000611790623
"118","I1",14,"Sassuolo","Fiorentina",1,"A",0.4,0.6,-3,3,-16,10,-11,-4,-11,10,4.33,3.4,1.85,0.351663074782909,0.292576347453402,0.355760577763689,14,2.810879176906,3.41791128607643,2.843630940261
"119","I1",14,"Torino","Chievo",1,"H",0.7,0.7,5,4,-18,-1,4,11,-13,-1,1.83,3.3,4.75,0.350434374004494,0.28614448714099,0.363421138854516,14,2.75162860132998,3.49473795560939,2.85360134216507
"120","I1",14,"Verona","Lazio",1,"H",0.3,0.4,-3,-1,-9,27,-6,-2,-1,15,2.7,3.2,2.63,0.330652235915364,0.281300987735848,0.388046776348788,14,2.57700890961962,3.55491108669351,3.02432553414206
