"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","H_odds","D_odds","A_odds"
"94","I1",12,"Bologna","Siena",1,"H",0.5,0.4,0,1,-20,15,0,3,-8,6,2.5,3,3,0.365391918363479,0.302218647653374,0.332389433983147,3.0085192180047,3.30886266537377,2.73678740481949
"95","I1",12,"Catania","Cagliari",1,"A",0.5,0.2,-3,-5,13,-4,5,-2,2,1,2,3.2,4,0.196527099779097,0.284308569258862,0.519164330962041,1.92617238966888,3.51730516813759,5.08835677687217
"96","I1",12,"Chievo","Atalanta",1,"D",0.4,0.5,-6,-1,-14,-24,-9,-5,-6,-20,2.3,3.1,3.25,0.238959276603974,0.292450909392629,0.468589814003397,2.13406260681704,3.41937729678062,4.1848134720348
"97","I1",12,"Lecce","Lazio",1,"A",0.3,0.7,-3,6,-34,-4,-13,8,-21,-4,4.2,3.25,1.91,0.509152618990002,0.292163458789115,0.198683922220883,5.03311988620937,3.42274151649404,1.96404764053593
"98","I1",12,"Palermo","Cesena",1,"A",0.5,0.4,0,-2,-47,-17,-1,-5,-9,2,1.62,3.6,6,0.290316539147566,0.277275544313224,0.432407916539209,2.31263111000264,3.60652073545422,3.44451612345691
"99","I1",12,"Atalanta","Catania",1,"D",0.5,0.4,-1,-4,-20,23,-6,6,-18,4,2,3.2,4,0.36763675740556,0.31081600865096,0.32154723394348,3.10996299901549,3.21733749925017,2.72007621614627
"100","I1",12,"Fiorentina","Atalanta",1,"D",0.3,0.6,-2,1,5,-18,-2,-7,-2,-13,1.91,3.25,4.33,0.251383508046189,0.270371759448711,0.4782447325051,2.09097964291606,3.6986111346799,3.97798569911063
"101","I1",12,"Parma","Lecce",1,"D",0.4,0.2,0,-4,28,-34,-1,-12,5,-20,1.67,3.6,5.5,0.127518682032184,0.239456462038964,0.633024855928853,1.57971680042907,4.17612450916978,7.8419882017571
"102","I1",12,"Palermo","Napoli",1,"A",0.4,0.6,-1,5,-54,18,-9,13,-4,8,3,3.25,2.38,0.52227191001776,0.280585549872175,0.197142540110064,5.07247192534753,3.56397540948051,1.91471143827359
"103","I1",12,"Napoli","Bologna",1,"D",0.7,0.5,7,0,22,3,16,1,9,-6,1.33,5,9,0.153417808570908,0.228489645458989,0.618092545970103,1.61788069848098,4.37656594018169,6.51814811666933
"104","I1",12,"Roma","Cesena",1,"H",0.7,0.4,3,-4,-10,5,-4,-3,-17,-16,1.4,4.2,9,0.209158012051814,0.275903429055713,0.514938558892474,1.94197925700261,3.62445658403931,4.78107431883735
"105","I1",12,"Cagliari","Fiorentina",1,"D",0.4,0.4,-1,0,13,14,-1,6,10,-7,2.38,3.1,3.1,0.273125802141909,0.304525387970487,0.422348809887604,2.36771118229532,3.28379845984111,3.66131647818622
"106","I1",12,"Palermo","Genoa",1,"H",0.1,0.4,-6,-7,-28,-35,-12,-11,4,-4,2.05,3.25,3.75,0.251148337623589,0.263254847764798,0.485596814611613,2.05932158101122,3.7986005138771,3.98171060761214
"107","I1",12,"Siena","Napoli",1,"D",0.3,0.6,-2,5,-12,18,-8,10,-16,17,3.5,3.3,2.1,0.549498759359715,0.275551169686118,0.174950070954167,5.71591651575825,3.62909002033672,1.81984032350722
"108","I1",12,"Juventus","Udinese",1,"H",0.8,0.6,5,3,35,-10,20,-5,19,-4,1.62,3.75,5.5,0.111826149722333,0.186604270964509,0.701569579313158,1.4253753718612,5.35893414888768,8.94245221250149
"109","I1",12,"Palermo","Novara",1,"H",0.3,0.1,-3,-10,-15,-27,-10,-19,6,2,1.53,3.75,7,0.174382038013382,0.234878729836181,0.590739232150437,1.69279429158574,4.2575162114401,5.73453557139446
"110","I1",12,"Chievo","Parma",1,"A",0.5,0.5,-3,-3,-15,-13,-7,-4,-4,-13,2.3,3.1,3.3,0.22479541601222,0.272064729248495,0.503139854739285,1.98751895835836,3.67559588764861,4.44848928745788
"111","I1",12,"Fiorentina","Napoli",1,"A",0.7,0.5,4,1,15,13,7,12,-17,13,2.38,3,3.25,0.334639880124276,0.303785141985021,0.361574977890703,2.76567810591772,3.29180022915441,2.98828698966969
"112","I1",12,"Lecce","Siena",1,"H",0.5,0.4,0,-2,-5,-25,-7,-17,0,-6,2.4,3.2,3,0.18825221930611,0.230931294246986,0.580816486446904,1.72171421324043,4.33029227702019,5.31202236917026
"113","I1",12,"Palermo","Lazio",1,"H",0.7,0.6,4,4,17,10,12,7,9,7,2.4,3.2,3,0.250870848844528,0.264287728080063,0.484841423075409,2.06253004055816,3.78375495247006,3.98611478617721
"114","I1",12,"Lazio","Fiorentina",1,"H",0.6,0.5,1,-3,17,4,13,-4,9,-2,2.1,3.25,3.6,0.155696755688344,0.225945536052342,0.618357708259314,1.61718692375488,4.42584534959939,6.42274140895836
"115","I1",12,"Fiorentina","Cesena",1,"H",0.4,0.1,-4,-5,16,-21,-1,-16,4,-12,1.5,3.75,7.5,0.147627239686051,0.254668117725815,0.597704642588134,1.67306714512017,3.92667919694854,6.77381763776547
"116","I1",12,"Bologna","Juventus",1,"D",0.7,0.6,4,2,7,53,4,14,-2,20,5,3.5,1.73,0.403442332049805,0.281791206122867,0.314766461827328,3.17695854315182,3.54872678164406,2.47866899568821
"117","I1",12,"Cesena","Catania",1,"D",0.1,0.7,-6,5,-29,-23,-15,-6,-16,-17,2.7,3,2.8,0.426871764604355,0.295119565419386,0.278008669976259,3.59701012232963,3.38845714474718,2.34262390469149
"118","I1",12,"Palermo","Roma",1,"A",0.4,0.3,-3,-4,-3,16,-9,-8,5,2,2.63,3.3,2.63,0.270826399056113,0.276006407151303,0.453167193792583,2.2066910705317,3.62310429790788,3.69240223067326
"119","I1",12,"Novara","Udinese",1,"H",0.4,0.4,-2,0,-56,20,-15,13,-10,16,4.2,3.3,1.91,0.528621055045478,0.287146444389964,0.184232500564558,5.42792393815219,3.48254355760691,1.89171428276531
"120","I1",12,"Fiorentina","Juventus",1,"A",0.3,0.6,-2,2,4,53,-3,9,1,27,4,3.2,2,0.52129865547873,0.264506788563557,0.214194555957713,4.66865273736193,3.78062130439316,1.9182861676128
"121","I1",12,"Parma","Milan",1,"A",0.3,0.9,-2,9,-10,14,-2,21,6,17,5.5,3.5,1.67,0.548062200691412,0.263502407960281,0.188435391348306,5.30685872141496,3.79503173326118,1.82461041600468
"122","I1",12,"Inter","Atalanta",1,"D",0.3,0.7,-3,4,40,-18,8,2,4,-2,1.62,3.8,5.5,0.264654837348935,0.279983241677733,0.455361920973332,2.19605538790444,3.57164233833332,3.77850641241651
